Opportunity Name,Organization,Type,Fields,Typical Amount,Deadline,Cycle,Rolling?,Description,CV Sources,Website
Rackham Faculty & Student Ally Grant,"Rackham Graduate School, University of Michigan",internal,"Research, Education, Equity, Architecture","$5,000–$25,000",Rolling; check Rackham website,Annual,Yes,UM funding for faculty-student collaborative research and equity initiatives. Multiple award tiers.,"Hwang CV (multiple: $5K–$25K, 2020–2024); Knoblauch CV; Adams CV",https://rackham.umich.edu
Rackham Spring/Summer Research Grant,"Rackham Graduate School, University of Michigan",internal,"Research, Architecture, Humanities, Social Sciences","$3,000–$8,000",Annual spring deadline,Annual,No,"UM summer research support for faculty. Supports writing, data collection, and field work.","Campbell CV (2008, 2011); Knoblauch CV; Kinder CV",https://rackham.umich.edu
Rackham Supplemental Block Grant,"Rackham Graduate School, University of Michigan",internal,"Teaching, PhD Education, Curriculum Development","$4,000",Annual; check Rackham,Annual,No,Supports Ph.D. student curricular development and engagement activities.,"Knoblauch CV (2020, $4K)",https://rackham.umich.edu
Rackham Faculty Research Grant,"Rackham Graduate School, University of Michigan",internal,"Research, Architecture, Urban Planning","$15,000",Annual; check Rackham,Annual,No,UM Rackham grant for faculty research projects.,"Campbell CV (1999–2000, $15K); Kinder CV",https://rackham.umich.edu
UM Arts Initiative – Creative Fellows / Projects in Partnership,University of Michigan Arts Initiative,internal,"Arts, Architecture, Interdisciplinary, Community","$19,111–$60,000",Annual cycle; check Arts Initiative website,Annual,No,"UM grant for interdisciplinary arts-integrated teaching and research. Multiple award sizes (example: $19,111 for Art and Anatomy).","Hwang CV (2022, Art and Anatomy $19,111); Sirota CV (2024, Empitheatre $60K)",https://artsinitiative.umich.edu
ArtsEngine – Faculty Research Opportunity Grant (FROG),University of Michigan ArtsEngine,internal,"Arts, Architecture, Research, Indigenous","$20,000",Annual; check ArtsEngine,Annual,No,UM ArtsEngine grant supporting faculty arts and design research.,"Adams/Gilpin CV (2024, $20K Spatial Justice); Wizinsky CV",https://artsengine.umich.edu
OVPR Arts Research: Incubation & Acceleration (ARIA),"Office of VP for Research, University of Michigan",internal,"Arts, Architecture, Design, Disability","$39,656",Annual; check OVPR,Annual,No,UM OVPR grant for arts research incubation. Disability Arts & Technology and other themes eligible.,"Adams/Yergeau CV (2024, $39,656); Sanchez CV (2024, ARIA grant)",https://research.umich.edu
OVPR Bold Challenges – Team Formation Grant,"Office of VP for Research, University of Michigan",internal,"Research, Architecture, Energy, Equity","$20,000",Annual; check OVPR,Annual,No,UM seed grant for interdisciplinary team formation around bold research challenges.,"Thün CV (2022, $20K); Hwang CV (2023, Bold Challenges Accelerate)",https://research.umich.edu
OVPR RCI – Research Catalyst and Innovation Award,"Office of VP for Research, University of Michigan",internal,"Research, Architecture, Sustainability, Technology","$15,000–$100,000",Annual; check OVPR,Annual,No,"UM research catalyst grants. Small Scale ($15K), Large Scale ($100K), and Center Planning ($100K) tracks.","Adams/Gilpin CV (2022–2024, multiple $15K–$60K); Thün CV (2021, $100K); Ng CV (2022, $32K); Cuéllar CV ($15K)",https://research.umich.edu
OVPR Humanities Collaboratory – Proposal Development Fund,"Office of VP for Research / Humanities Collaboratory, U-M",internal,"Humanities, Architecture, Digital, Indigenous","$58,000–$60,000",Annual; check Humanities Collaboratory,Annual,No,UM Humanities Collaboratory grants for interdisciplinary humanities research with tech and design.,"Adams/Gilpin CV (2024, $60K LiDAR/Teotihuacán); Abrons CV (2024, $58K Reparative AI)",https://humanitiescollaboratory.umich.edu
OVPR Large-Scale Center and Initiative Planning Grant,"Office of VP for Research, University of Michigan",internal,"Research, Architecture, Sustainability, Food-Energy-Water","$100,000",Periodic; check OVPR,Periodic,No,UM planning grant for large research center formation.,"Thün CV (2021, FEW Systems, $100K)",https://research.umich.edu
OVPR Faculty Grants and Awards Program / Small Projects Grant,"Office of VP for Research, University of Michigan",internal,"Architecture, Research, Arts","$5,000–$14,900",Annual; check OVPR,Annual,No,OVPR small grants for exploratory and early-stage research including artistic productions.,"Knoblauch CV ($2,794); Thün CV (multiple $14,900); Trandafirescu CV ($6,500); Kinder CV ($6,800)",https://research.umich.edu
Taubman College Seed Fund / Research Through Making Grant,"Taubman College, University of Michigan",internal,"Architecture, Research, Design, Making","$1,500–$24,476",Annual rounds; check Taubman website,Annual,No,Taubman internal seed grants for speculative research and making-based projects. Multiple tracks.,"Many CVs: Knoblauch ($3K–$3.5K), Thün ($19K–$24K), Trandafirescu ($3K–$20K), Wilcox ($5K), Fure ($15K), Ng ($1.5K–$10K), von Bülow ($20K)",https://taubmancollege.umich.edu
Taubman College Pressing Matters / Keep It Together / Stay Together Grants,"Taubman College, University of Michigan",internal,"Architecture, Housing, Equity, Community","$5,000–$25,000",Check Taubman website,Annual,No,"Suite of Taubman grants for collaborative housing, equity, and community design research.","Abrons/Haar CV ($5K–$25K, Collective for Equitable Housing); Sirota CV ($5K); Adams CV ($5K); Cuéllar CV ($20K)",https://taubmancollege.umich.edu
Taubman College Design Research Fellowship Grant,"Taubman College, University of Michigan",internal,"Architecture, Design Research, History",Varies ($5K–$22K),Annual; check Taubman,Annual,No,Taubman fellowship grant for faculty design research including preservation and memorialization.,"Multiple CVs (2024–2026, e.g. Wilcox $60K MMRI Incubator)",https://taubmancollege.umich.edu
Taubman College Equity Innovation / Get It Together Grant,"Taubman College, University of Michigan",internal,"Architecture, Equity, Education, Community","$1,500–$15,000",Annual; check Taubman,Annual,No,Taubman grants for equity and innovation initiatives in architecture education.,"Fure CV ($15K); Adams CV ($5K–$5K); Cuéllar CV ($1,500); Hwang CV ($5K)",https://taubmancollege.umich.edu
Taubman College Prototyping Tomorrow Grant,"Taubman College, University of Michigan",internal,"Architecture, Technology, Fabrication, Materials","$19,000–$20,000",Annual; check Taubman,Annual,No,Taubman grant for fabrication and prototyping-based research. Recurring annual opportunity.,"Thün CV (2018–2019, multiple ~$20K); Adams CV (2019, $20K Nootropic Chambers)",https://taubmancollege.umich.edu
Taubman 'Research Through Planning' Grant,"Taubman College, University of Michigan",internal,"Urban Planning, Research, Community","$4,000–$5,000",Annual; check Taubman,Annual,No,Taubman planning research grants for community-facing urban planning projects.,"Campbell CV (2016–2017); Kinder CV ($3,483–$4,000)",https://taubmancollege.umich.edu
SUCCEED Grant – Career Support for Faculty,University of Michigan,internal,"Research, Writing, Architecture, Humanities, Social Sciences","$1,350–$4,683",Annual; check UM HR/Provost,Annual,No,"Supports career-relevant needs of tenure-track and tenured faculty in arts, humanities and social sciences.","Knoblauch CV (multiple: $1,350; $4,683)",https://umich.edu
ADVANCE Faculty Summer Writing Grants,University of Michigan,internal,"Research, Writing, Architecture","$3,000",Annual spring deadline,Annual,No,"UM ADVANCE program grants supporting faculty writing productivity, particularly for underrepresented groups.","Knoblauch CV (2017, $3K)",https://advance.umich.edu
UM Michigan Society of Fellows – Senior Fellowship,University of Michigan / Michigan Society of Fellows,fellowship,"Architecture, Humanities, Interdisciplinary",Stipend + support,Annual; check MSoF,Annual,No,Prestigious UM senior fellowship for interdisciplinary faculty research.,Campbell CV (2018–2023 Senior Fellow),https://societyoffellows.umich.edu
UM Presidential Awards for Understanding Democracy,University of Michigan,internal,"Architecture, Design, Democracy, Community","$47,500–$47,800",Annual; check UM President/Provost office,Annual,No,Prestigious UM award for interdisciplinary projects advancing democratic understanding and practice.,"Sirota CV (2025, Democracy and Design, $47,500); Haar CV (2025, $47,800)",https://umich.edu/president
UM Transforming Learning for a Third Century / Quick Starts,University of Michigan,internal,"Teaching, Architecture, Innovation, Pedagogy","$50,000",Check UM Provost/CRLT,Periodic,No,UM teaching innovation grants for transformative pedagogical projects.,"Trandafirescu CV (2015, On Site Mobile Classroom, $50K)",https://crlt.umich.edu
UM International Institute – Experiential Learning Fund,University of Michigan International Institute,internal,"Architecture, International, Education","$6,500–$10,000",Annual; check International Institute,Annual,No,Travel and course development grants for international research and studio courses.,"Sirota CV (2010–2011, $6.5K–$10K); Halquist CV (2016, $10K)",https://ii.umich.edu
UM Arts Initiative – Public Art and Engagement Faculty Fellowship,University of Michigan Arts Initiative,fellowship,"Architecture, Arts, Public Engagement",Fellowship + stipend,Annual; check Arts Initiative,Annual,No,UM fellowship for faculty creating publicly engaged art and research projects.,"Trandafirescu CV (2022–2023, Faculty Fellow)",https://artsinitiative.umich.edu
"Steelcase Fellow – Institute for the Humanities, U-M","LSA Institute for the Humanities, University of Michigan",fellowship,"Architecture, Humanities, Research","Fellowship + $6,000",Annual; typically fall deadline,Annual,No,UM summer fellowship supporting humanities research including endowed Steelcase track.,"Trandafirescu CV (2022–2023, Steelcase Fellow); multiple CVs (Institute for Humanities)",https://lsa.umich.edu/humanities
UM Lieberthal-Rogel Center – China Studies Faculty Research Grant,"Lieberthal-Rogel Center for Chinese Studies, U-M",internal,"Architecture, China, International, Design","$10,000–$17,190",Annual; check LRCCS,Annual,No,UM center grants for faculty research related to China.,"Adams CV (2016, 2017, $10K–$17K)",https://lsa.umich.edu/lrccs
UM Sweetland Center – Senior Writing Fellow,"Sweetland Center for Writing, University of Michigan",fellowship,"Architecture, Writing, Humanities",Fellowship + support,Annual; check Sweetland,Annual,No,UM fellowship supporting faculty scholarly writing and publishing.,Wilson CV (2021 Senior Fellow),https://lsa.umich.edu/sweetland
UM Bentley Historical Library – Bentley Fellow,"Bentley Historical Library, University of Michigan",fellowship,"Architecture, History, Archives",Fellowship + access,Annual; check Bentley,Annual,No,UM archival fellowship supporting historical research using Bentley collections.,Wilson CV (2020 Bentley Fellow),https://bentley.umich.edu
UM Michigan Humanities Award,University of Michigan,award,"Architecture, Humanities, Scholarship",Award + recognition,Annual nominations,Annual,No,UM award recognizing outstanding contributions to humanities scholarship.,Wilson CV (2014),https://umich.edu
UM Anti-Racism Initiative – Tier 2 Grant,"Office of VP for Research, University of Michigan",internal,"Architecture, Equity, Research, Community","$100,000",Check OVPR anti-racism initiative,Periodic,No,UM research grant supporting anti-racism and equity-centered projects.,"Kutil CV ($100K, Tier 2)",https://research.umich.edu
UM Graham Environmental Sustainability Institute,"Graham Institute for Sustainability, University of Michigan",internal,"Architecture, Sustainability, Environmental","$5,000–$36,500",Annual; check Graham Institute,Annual,No,UM sustainability research grants including Dow Distinguished Award Seed Grants.,"Thün CV (2010, $36.5K); Grengs CV (2024, $10K Who's Missing); Gräbner CV ($5K Dow Seed)",https://graham.umich.edu
Provost Teaching Innovation Prize,"Office of the Provost, University of Michigan",award,"Architecture, Teaching, Innovation, Pedagogy",Prize + recognition,Annual nominations,Annual,No,UM provost-level prize for exceptional teaching innovation.,"Hwang CV (2024, awarded)",https://provost.umich.edu
CRLT Faculty Development Fund / Whitaker Fund / LEO Fund,"CRLT / Whitaker Fund / LEO, University of Michigan",internal,"Teaching, Research, Architecture, Professional Development","$412–$10,000",Annual; check CRLT website,Annual,No,Suite of UM internal teaching and professional development grants. Multiple tracks for different faculty categories.,Multiple CVs,https://crlt.umich.edu
PEFF – Public Engagement Faculty Fellowship,"Center for Academic Innovation / OVPR, U-M",fellowship,"Research, Public Engagement, Architecture",Fellowship stipend + support,Annual cycle; check OVPR website,Annual,No,UM fellowship for faculty engaged in publicly impactful scholarship and community-facing research.,Multiple CVs (noted affiliation),https://publicengagement.umich.edu
Ginsberg Community-Driven Grant,"Edward Ginsberg Center, University of Michigan",internal,"Community Engagement, Design, Planning","$2,500",Annual RFP; check Ginsberg Center,Annual,No,UM grant supporting community-engaged projects and public design initiatives.,Sirota CV (U-M Public Design Corps),https://ginsberg.umich.edu
MSI Collaboration & Implementation Grant,University of Michigan,internal,"Architecture, Education, Equity, Consortium","$30,000",Annual; check OVPR,Annual,No,UM grant for multi-institutional collaboration and equity-focused education programs.,Multiple CVs,https://research.umich.edu
Graham Foundation – Grant for Individuals,Graham Foundation for the Advanced Studies in the Fine Arts,grant,"Architecture, Arts, Design Research, Publishing","$10,000–$15,000",Annual; spring deadline; check grahamfoundation.org,Annual,No,"Prestigious grants for individuals at intersection of architecture and the arts. For projects, exhibitions, books. Highly competitive.","Miller CV (2015, Bioplastics!); Sirota CV (2024, Junior Architects $10K); Wilkins CV (2025 If History Were Stories); Haar CV (2019, Re: Housing $TBD); Lui CV (2018 exhibitions); Ann Lui (2018, x2)",https://grahamfoundation.org
Graham Foundation – Carter Manny Writing Award,Graham Foundation for the Advanced Studies in the Fine Arts,grant,"Architecture, Writing, Dissertation, Scholarship",Varies,Annual; check Graham Foundation,Annual,No,Award supporting dissertation writing and architecture scholarship. Faculty nominate students.,"Knoblauch CV (students Taskin 2022, Brisson 2020)",https://grahamfoundation.org
Richard H. Driehaus Foundation – Architecture Grant,Richard H. Driehaus Foundation,grant,"Architecture, Urban Design, Traditional/Classical","$10,000–$50,000",Check Driehaus Foundation website,Annual,No,"Chicago-based foundation supporting architecture, historic preservation, and urban design.",Haar CV (noted funder in biography),https://driehausfoundation.org
Fannie Mae Foundation – Community Development,Fannie Mae Foundation,grant,"Architecture, Housing, Community Development, Detroit","$15,000–$200,000",Check Fannie Mae Foundation,Annual,No,Supports university-community partnerships for affordable housing and community development.,"Haar CV (noted); Dewar CV (1998–2001, $200K for Detroit nonprofit capacity building)",https://fanniemaefoundation.org
Knight Foundation – Community / Cultural Infrastructure,John S. and James L. Knight Foundation,grant,"Architecture, Community, Cultural Infrastructure, Urban, Detroit","$15,000–$750,000",Open RFPs; check Knight Foundation; Detroit focus,Rolling,Yes,Supports community-oriented design and cultural infrastructure in Knight cities including Detroit.,"Sirota CV (2023, Kinetic Pavilion $750K); Kutil CV (Knight Arts Challenge $15K)",https://knightfoundation.org
Bedrock Foundation – Urban / Cultural Planning,Bedrock Foundation,grant,"Architecture, Urban Planning, Cultural District, Detroit","$150,000",By invitation / contact Bedrock,Rolling,Yes,Detroit-focused foundation supporting cultural planning and urban design.,"Sirota CV (2023, CCPI $150K)",https://bedrockdetroit.com
Bloomberg Philanthropies – Public Art Challenge,Bloomberg Philanthropies,grant,"Architecture, Public Art, Urban, Community, Food Access","$60,000–$1,000,000",Periodic; check Bloomberg Philanthropies,Periodic,No,Competitive grants for cities supporting innovative public art. Architecture teams can partner with city applicants.,"Thün CV (2019, Fertile Ground $60K subgrant of $1M to Jackson MS)",https://bloomberg.org/philanthropies
Ford Motor Company – Alliance Program / Research Partnership,Ford Motor Company,grant,"Architecture, Urban, Mobility, Sustainability, Brain Research","$191,000–$255,000",By invitation / contact Ford Alliance,Rolling,Yes,"Ford-funded research grants for architecture, urban design, mobility and smart city focus.","Thün CV (2016–2019, multiple $192K–$255K); Nanda CV (2025, Brain to Building, ongoing)",https://ford.com
National Fish & Wildlife Foundation – Coastal Resilience Fund,National Fish and Wildlife Foundation,grant,"Architecture, Landscape, Resilience, Ecology, SE Michigan","$499,300",Annual RFP; check NFWF.org,Annual,No,Supports nature-based solutions and stormwater/coastal resilience. Large project grants.,"Thün/Velikov CV (2024, SE Michigan Stormwater, $499K project)",https://nfwf.org
Lincoln Institute of Land Policy,Lincoln Institute of Land Policy,grant,"Urban Planning, Land Policy, Architecture, Housing","$10,000–$250,000",Annual; check Lincoln Institute,Annual,No,"Grants for research on land use, housing, and urban policy. Multiple programs.","Cuéllar CV (2022, Food Systems Grant $10K); Dewar CV (multiple historic); Campbell CV",https://lincolninst.edu
SOM Foundation – Research Prize,"Skidmore, Owings & Merrill Foundation",prize,"Architecture, Design, Housing Justice, Urban","$40,000",Annual; check SOM Foundation,Annual,No,Competitive annual prize for architecture research. Strong track record at Taubman.,"Cuéllar/Yi CV (2024, Block by Block $40K)",https://somfoundation.org
Architectural League of New York – Young Architects Prize / Emerging Voices,The Architectural League of New York,prize,"Architecture, Design, Emerging Practice","Exhibition + prize ($2,000–$5,000)",Annual; check Architectural League; typically fall,Annual,No,Prestigious national prizes for emerging architects. Young Architects (pre-10 yrs) and Emerging Voices (invited).,"Sirota CV (2018); Cuéllar CV (2018, $2K); Moran CV (2015 YAP); Borum/Maigret CV (2021 Emerging Voices); Ng CV (2022 Emerging Voices); Velikov/Thün CV (2008 YAF)",https://archleague.org
Exhibit Columbus – J. Irwin and Xenia Miller Prize / Research Fellowship,Exhibit Columbus,fellowship,"Architecture, Urban Design, Research, Columbus IN","$10,000",Periodic/Biennial; check Exhibit Columbus,Biennial,No,"Fellowship supporting design research in Columbus, IN with annual exhibitions and installations.","Wizinsky/Lally CV (2018–2019, The Long Now $10K); Lui CV (2021, Miller Prize winner)",https://exhibitcolumbus.org
Urban Studies Foundation – Seminar Series Competition,Urban Studies Foundation,grant,"Architecture, Urban Studies, Research, Deindustrialization","$26,050",Annual; check Urban Studies Foundation,Annual,No,Competitive grants for organized seminar series on emerging urban research topics.,"Thün CV (2018, Emerging Urbanisms $26K)",https://urbanstudiesfoundation.org
A.W. Mellon Foundation – Humanities / Urban Research,A.W. Mellon Foundation,grant,"Architecture, Urban, Humanities, Mapping","$15,840",By invitation through UM or directly,Periodic,No,Mellon foundation grants for humanities and urban research. Often channeled through UM partnerships.,"Thün CV (2018, Mapping Egalitarian Metropolis $15,840); Wizinsky CV (2018–2019, Humanities Without Walls $110K)",https://mellon.org
NextCycle Michigan – Recycling Innovation Track / Technology Translation,NextCycle Michigan / EGLE,grant,"Architecture, Materials, Circular Economy, Sustainability","$10,000–$250,000",Annual RFP; check NextCycle Michigan,Annual,No,Michigan state program funding circular economy and materials innovation research. Multiple tiers.,"Miller/Moran/Humphrey CV (2022–2026, multiple grants $10K–$250K)",https://nextcycle.com
Guardian / Taubman Research Alliance,Guardian Industries / University of Michigan,grant,"Architecture, Glass, Health, Workplace","$100,000–$207,600",By invitation (industry partner),Rolling,Yes,"Industry-academic research alliance grants for glass, wellness and workplace design.","Knoblauch/Adams/Nanda CV (2019–2020, $133K–$207K)",https://guardian.com
Walton Family Foundation – Design Excellence Program,Walton Family Foundation,grant,"Architecture, Design, Northwest Arkansas",Program support,Check Walton Family Foundation; NWA focus,Rolling,Yes,Design excellence program in Northwest Arkansas supporting innovative architecture practices.,Lui/Future Firm CV (2025),https://waltonfamilyfoundation.org
Department of Labor and Economic Opportunity (LEO) – Michigan,Michigan Dept. of Labor and Economic Opportunity,grant,"Architecture, Community, Housing, Detroit","$750,000",Check MLEO grant programs,Periodic,No,Michigan state grants for community and housing resilience projects.,"Fure CV (2024–2026, Rehab for America Detroit $750K)",https://michigan.gov/leo
Kresge Foundation – Arts in Detroit / Literary Artist Fellowship,Kresge Foundation,fellowship,"Architecture, Arts, Detroit, Community, Writing","$25,000+",Annual; check Kresge Arts in Detroit,Annual,No,"Detroit-focused arts fellowship for artists, architects, and writers with Detroit practice.","Wilkins CV (2010, Literary Artist Fellow); multiple Detroit-based faculty",https://kresge.org/arts
Poverty Solutions Initiative – Faculty Grants,University of Michigan Poverty Solutions,internal,"Architecture, Urban Planning, Housing, Equity","$10,000–$30,000",Annual; check Poverty Solutions,Annual,No,UM initiative grants for research addressing poverty and inequality.,Kinder CV (Poverty Solutions grants multiple years),https://povertysolutions.umich.edu
Minneapolis Foundation – Thriving Communities Grant,Minneapolis Foundation,grant,"Urban Planning, Architecture, Community, Resilience","$100,000–$150,000",Check Minneapolis Foundation,Annual,No,Community resilience and planning grants. Connected to Great Lakes regional work.,"Gräbner CV ($100K–$150K, Minneapolis Foundation)",https://minneapolisfoundation.org
Carasso Foundation – International Research,Daniel & Nina Carasso Foundation,grant,"Urban Planning, Food Systems, International (Bolivia)","$15,000–$30,000",Check Carasso Foundation; international focus,Rolling,Yes,International grants for sustainable food systems and community research.,"Kinder CV (Bolivia research, multiple years)",https://fondationcarasso.org
Kellogg Foundation – Community Research Grants,W.K. Kellogg Foundation,grant,"Urban Planning, Community, Food Systems, Equity","$30,000–$100,000",Check Kellogg Foundation,Rolling,Yes,"Major foundation supporting community-centered food, health, and equity research.",Kinder CV (multiple evaluations of MSU Center for Regional Food Systems),https://wkkf.org
Precast Institute Foundation – Studio Teaching Grant,Precast/Prestressed Concrete Institute Foundation,grant,"Architecture, Construction, Materials, Teaching","$75,000",Annual; check PCI Foundation,Annual,No,Grants for capstone studios and research focused on precast concrete in architecture education.,"Wilcox CV (2016, MSDT Capstone Studio $75K)",https://pci.org/foundation
Michigan Materials Research Institute (MMRI) – Incubator Grant,"Michigan Materials Research Institute, U-M",internal,"Architecture, Materials, Research, Technology","$60,000",Annual; check MMRI,Annual,No,UM materials research incubator grants for experimental materials and fabrication research.,"Wilcox CV (2024, $60K)",https://mmri.umich.edu
FARO Technologies – LiDAR Equipment Sponsorship,FARO Technologies,grant,"Architecture, Technology, Digital Fabrication, LiDAR","$145,249 (equipment value)",By invitation / industry partnership,Rolling,Yes,Industry equipment sponsorship for LiDAR scanning labs and spatial research. Contact FARO for partnership.,"Adams/Gilpin CV (2025–, EIPC Scan-Lab $145K in equipment)",https://faro.com
Van Alen Institute – Design Competition / Development Stipend,Van Alen Institute,prize,"Architecture, Urban Design, Memorial, Competition","$15,000–$16,000",Check Van Alen Institute; periodic competitions,Periodic,No,Design competition and development grants for visionary urban and memorial architecture projects.,"Trandafirescu CV (2016, Memorials for the Future VOICEOVER, $15K stipend)",https://vanalen.org
Games for Change / ACADIA – Games and Design Awards,Games for Change / ACADIA,award,"Architecture, Design, Games, Digital",Award + prizes,Annual; check Games for Change & ACADIA,Annual,No,Awards for design innovation using games. Devolver Digital publishing funds also available ($27K–$45K).,"Sanchez CV (2016, Best Gameplay Block'hood; $27K–$45K Devolver publishing funds)",https://gamesforchange.org
