Opportunity Name,Organization,Type,Fields,Typical Amount,Deadline,Cycle,Rolling?,Description,CV Sources,Website,Apply Link,Duplicate Entries Merged
USDA / HUD – Community Development Grants,US Dept of Housing and Urban Development,federal,"Urban Planning, Community, Housing, Detroit","$90,000–$200,000",Check HUD grants portal,Annual,No,Community development work-study and partnership grants for university-community engagement.,"Dewar CV (HUD Community Development Work Study, $90K/biennial)",https://hud.gov/grants,https://hud.gov/grants,1
FDA – Home as a Healthcare Hub,US Food and Drug Administration,federal,"Architecture, Health, Housing, Technology",Research grant (amount TBD),By invitation / check FDA,Periodic,No,FDA-funded research on residential design as healthcare delivery platform.,"Nanda CV (2024, PI)",https://fda.gov,https://www.fda.gov/science-research/advancing-regulatory-science/extramural-research,1
Belmont Forum SUGI FWE Nexus Program (via NSF),Belmont Forum / NSF,federal,"Architecture, Urban, Sustainability, Food-Water-Energy","$250,000 (U-M component)",Check NSF/Belmont Forum,Periodic,No,"International program supporting food-water-energy nexus research. Multi-institution, 4-year awards.","Thün CV (2018, M_NEX, $250K U-M of $1.7M total)",https://belmontforum.org,https://www.belmontforum.org/cras/,1
Michigan Coastal Management Program (MCMP) Grants,Michigan Coastal Management Program / NOAA,federal,"Urban Planning, Coastal Resilience, Great Lakes","$50,000–$100,000",Annual; check MCMP/NOAA,Annual,No,NOAA-funded coastal planning and resilience research through Michigan state program. Multiple tracks.,"Scott Campbell CV (2018–2025, multiple grants $50K–$100K)",https://michigan.gov/egle/coastal,https://www.michigan.gov/egle/about/organization/water-resources/coastal-management/coastal-grants,1
US Army Corps of Engineers – Research Grant,US Army Corps of Engineers,federal,"Urban Planning, Water, Coastal Resilience","$100,000",Check USACE/ERDC,Periodic,No,USACE-funded research on Great Lakes water systems and resilience.,"Scott Campbell CV (2024–2025, $100K)",https://usace.army.mil,https://www.erdc.usace.army.mil/Business-With-Us/BAA/,1
Robert Wood Johnson Foundation – Health Equity Grant,Robert Wood Johnson Foundation,federal,"Architecture, Urban Planning, Health Equity, Housing","$250,000",Check RWJF; Letter of Intent first,Annual (competitive),No,Highly competitive health equity grants. Architecture + land use applications accepted. LOI shortlisted from 600+ proposals.,"Cuéllar CV (2025, LOI advanced to full submission, $250K requested)",https://rwjf.org,https://www.rwjf.org/en/how-we-work/grants-explorer/funding-opportunities.html,1
Agency for Healthcare Research and Quality (AHRQ) – Patient Safety,AHRQ / US DHHS,federal,"Architecture, Health, Patient Safety","$116,000+",Check AHRQ grants,Annual,No,Multi-disciplinary research grants on reducing diagnostic errors through built environment and design.,"Adams CV (2016, M-Safety Lab, $116K year 2)",https://ahrq.gov,https://www.ahrq.gov/funding/index.html,1
NSF I-Corps – Innovation Corps Regional Program,National Science Foundation,federal,"Architecture, Technology, Entrepreneurship, AEC",No direct funding (training + pathway),Check NSF I-Corps,Rolling,Yes,NSF program helping researchers explore commercial potential of research. Completed program opens doors to follow-on NSF funding.,"Gilpin/Adams CV (2024, completed)",https://nsf.gov/i-corps,https://new.nsf.gov/funding/opportunities/i-corps,1
Rackham Faculty & Student Ally Grant,"Rackham Graduate School, University of Michigan",internal,"Research, Education, Equity, Architecture","$5,000–$25,000",Rolling; check Rackham website,Annual,Yes,UM funding for faculty-student collaborative research and equity initiatives. Multiple award tiers.,"Hwang CV (multiple: $5K–$25K, 2020–2024); Knoblauch CV; Adams CV; Hwang CV (multiple awards 2020–2024)",https://rackham.umich.edu,https://rackham.umich.edu/funding/,2
Rackham Spring/Summer Research Grant,"Rackham Graduate School, University of Michigan",internal,"Research, Architecture, Humanities, Social Sciences","$3,000–$8,000",Annual spring deadline,Annual,No,"UM summer research support for faculty. Supports writing, data collection, and field work.","Campbell CV (2008, 2011); Knoblauch CV; Kinder CV",https://rackham.umich.edu,https://rackham.umich.edu/funding/,1
Rackham Supplemental Block Grant,"Rackham Graduate School, University of Michigan",internal,"Teaching, PhD Education, Curriculum Development","$4,000",Annual; check Rackham,Annual,No,Supports Ph.D. student curricular development and engagement activities.,"Knoblauch CV (2020, $4K)",https://rackham.umich.edu,https://rackham.umich.edu/funding/,1
Rackham Faculty Research Grant,"Rackham Graduate School, University of Michigan",internal,"Research, Architecture, Urban Planning","$15,000",Annual; check Rackham,Annual,No,UM Rackham grant for faculty research projects.,"Campbell CV (1999–2000, $15K); Kinder CV",https://rackham.umich.edu,https://rackham.umich.edu/funding/,1
UM Arts Initiative – Creative Fellows / Projects in Partnership,University of Michigan Arts Initiative,internal,"Arts, Architecture, Interdisciplinary, Community","$19,111–$60,000",Annual cycle; check Arts Initiative website,Annual,No,"UM grant for interdisciplinary arts-integrated teaching and research. Multiple award sizes (example: $19,111 for Art and Anatomy).","Hwang CV (2022, Art and Anatomy $19,111); Sirota CV (2024, Empitheatre $60K)",https://artsinitiative.umich.edu,https://artsinitiative.umich.edu/funding/,1
ArtsEngine – Faculty Research Opportunity Grant (FROG),University of Michigan ArtsEngine,internal,"Arts, Architecture, Research, Indigenous","$20,000",Annual; check ArtsEngine,Annual,No,UM ArtsEngine grant supporting faculty arts and design research.,"Adams/Gilpin CV (2024, $20K Spatial Justice); Wizinsky CV",https://artsengine.umich.edu,https://artsengine.umich.edu/funding/,1
OVPR Arts Research: Incubation & Acceleration (ARIA),"Office of VP for Research, University of Michigan",internal,"Arts, Architecture, Design, Disability","$39,656",Annual; check OVPR,Annual,No,UM OVPR grant for arts research incubation. Disability Arts & Technology and other themes eligible.,"Adams/Yergeau CV (2024, $39,656); Sanchez CV (2024, ARIA grant)",https://research.umich.edu,https://research.umich.edu/funding/,1
OVPR Bold Challenges – Team Formation Grant,"Office of VP for Research, University of Michigan; Office of the Vice President for Research, UM",internal,"Research, Architecture, Energy, Equity; Architecture, Research, Interdisciplinary","$20,000; ~$20,000",Annual; check OVPR; Internal; periodic,Annual; Periodic,No,Seed grants to form large interdisciplinary teams around Bold Challenges initiatives at UM.,"Thün CV (2022, $20K); Hwang CV (2023, Bold Challenges Accelerate); Thün CV (2022)",https://research.umich.edu,https://research.umich.edu/funding/,2
OVPR RCI – Research Catalyst and Innovation Award,"Office of VP for Research, University of Michigan",internal,"Research, Architecture, Sustainability, Technology","$15,000–$100,000",Annual; check OVPR,Annual,No,"UM research catalyst grants. Small Scale ($15K), Large Scale ($100K), and Center Planning ($100K) tracks.","Adams/Gilpin CV (2022–2024, multiple $15K–$60K); Thün CV (2021, $100K); Ng CV (2022, $32K); Cuéllar CV ($15K)",https://research.umich.edu,https://research.umich.edu/funding/,1
OVPR Humanities Collaboratory – Proposal Development Fund,"Office of VP for Research / Humanities Collaboratory, U-M",internal,"Humanities, Architecture, Digital, Indigenous","$58,000–$60,000",Annual; check Humanities Collaboratory,Annual,No,UM Humanities Collaboratory grants for interdisciplinary humanities research with tech and design.,"Adams/Gilpin CV (2024, $60K LiDAR/Teotihuacán); Abrons CV (2024, $58K Reparative AI)",https://humanitiescollaboratory.umich.edu,https://research.umich.edu/funding/,1
OVPR Large-Scale Center and Initiative Planning Grant,"Office of VP for Research, University of Michigan",internal,"Research, Architecture, Sustainability, Food-Energy-Water","$100,000",Periodic; check OVPR,Periodic,No,UM planning grant for large research center formation.,"Thün CV (2021, FEW Systems, $100K)",https://research.umich.edu,https://research.umich.edu/funding/,1
OVPR Faculty Grants and Awards Program / Small Projects Grant,"Office of VP for Research, University of Michigan",internal,"Architecture, Research, Arts","$5,000–$14,900",Annual; check OVPR,Annual,No,OVPR small grants for exploratory and early-stage research including artistic productions.,"Knoblauch CV ($2,794); Thün CV (multiple $14,900); Trandafirescu CV ($6,500); Kinder CV ($6,800)",https://research.umich.edu,https://research.umich.edu/funding/,1
Taubman College Seed Fund / Research Through Making Grant,"Taubman College, University of Michigan",internal,"Architecture, Research, Design, Making","$1,500–$24,476",Annual rounds; check Taubman website,Annual,No,Taubman internal seed grants for speculative research and making-based projects. Multiple tracks.,"Many CVs: Knoblauch ($3K–$3.5K), Thün ($19K–$24K), Trandafirescu ($3K–$20K), Wilcox ($5K), Fure ($15K), Ng ($1.5K–$10K), von Bülow ($20K)",https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/research,1
Taubman College Pressing Matters / Keep It Together / Stay Together Grants,"Taubman College, University of Michigan",internal,"Architecture, Housing, Equity, Community","$5,000–$25,000",Check Taubman website,Annual,No,"Suite of Taubman grants for collaborative housing, equity, and community design research.","Abrons/Haar CV ($5K–$25K, Collective for Equitable Housing); Sirota CV ($5K); Adams CV ($5K); Cuéllar CV ($20K)",https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/research,1
Taubman College Design Research Fellowship Grant,"Taubman College, University of Michigan",internal,"Architecture, Design Research, History",Varies ($5K–$22K),Annual; check Taubman,Annual,No,Taubman fellowship grant for faculty design research including preservation and memorialization.,"Multiple CVs (2024–2026, e.g. Wilcox $60K MMRI Incubator)",https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/research,1
Taubman College Equity Innovation / Get It Together Grant,"Taubman College, University of Michigan",internal,"Architecture, Equity, Education, Community","$1,500–$15,000",Annual; check Taubman,Annual,No,Taubman grants for equity and innovation initiatives in architecture education.,"Fure CV ($15K); Adams CV ($5K–$5K); Cuéllar CV ($1,500); Hwang CV ($5K)",https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/research,1
Taubman College Prototyping Tomorrow Grant,"Taubman College, University of Michigan; Taubman College of Architecture + Urban Planning, UM",internal,"Architecture, Technology, Fabrication, Materials; Architecture, Prototyping, Design Research","$19,000–$20,000; ~$20,000",Annual; check Taubman; Internal annual cycle,Annual,No,Taubman grant for fabrication and prototyping-based research. Recurring annual opportunity.,"Thün CV (2018–2019, multiple ~$20K); Adams CV (2019, $20K Nootropic Chambers); Miller CV (2018); Thün CV (2019; 2018)",https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/research,2
Taubman 'Research Through Planning' Grant,"Taubman College, University of Michigan",internal,"Urban Planning, Research, Community","$4,000–$5,000",Annual; check Taubman,Annual,No,Taubman planning research grants for community-facing urban planning projects.,"Campbell CV (2016–2017); Kinder CV ($3,483–$4,000)",https://taubmancollege.umich.edu,https://taubmancollege.umich.edu/research,1
SUCCEED Grant – Career Support for Faculty,University of Michigan,internal,"Research, Writing, Architecture, Humanities, Social Sciences","$1,350–$4,683",Annual; check UM HR/Provost,Annual,No,"Supports career-relevant needs of tenure-track and tenured faculty in arts, humanities and social sciences.","Knoblauch CV (multiple: $1,350; $4,683)",https://umich.edu,https://research.umich.edu/funding/,1
ADVANCE Faculty Summer Writing Grants,University of Michigan,internal,"Research, Writing, Architecture","$3,000",Annual spring deadline,Annual,No,"UM ADVANCE program grants supporting faculty writing productivity, particularly for underrepresented groups.","Knoblauch CV (2017, $3K)",https://advance.umich.edu,https://research.umich.edu/funding/,1
UM Michigan Society of Fellows – Senior Fellowship,University of Michigan / Michigan Society of Fellows,fellowship,"Architecture, Humanities, Interdisciplinary",Stipend + support,Annual; check MSoF,Annual,No,Prestigious UM senior fellowship for interdisciplinary faculty research.,Campbell CV (2018–2023 Senior Fellow),https://societyoffellows.umich.edu,https://societyoffellows.umich.edu/,1
UM Presidential Awards for Understanding Democracy,University of Michigan,internal,"Architecture, Design, Democracy, Community","$47,500–$47,800",Annual; check UM President/Provost office,Annual,No,Prestigious UM award for interdisciplinary projects advancing democratic understanding and practice.,"Sirota CV (2025, Democracy and Design, $47,500); Haar CV (2025, $47,800)",https://umich.edu/president,https://research.umich.edu/funding/,1
UM Transforming Learning for a Third Century / Quick Starts,University of Michigan,internal,"Teaching, Architecture, Innovation, Pedagogy","$50,000",Check UM Provost/CRLT,Periodic,No,UM teaching innovation grants for transformative pedagogical projects.,"Trandafirescu CV (2015, On Site Mobile Classroom, $50K)",https://crlt.umich.edu,https://research.umich.edu/funding/,1
UM International Institute – Experiential Learning Fund,University of Michigan International Institute,internal,"Architecture, International, Education","$6,500–$10,000",Annual; check International Institute,Annual,No,Travel and course development grants for international research and studio courses.,"Sirota CV (2010–2011, $6.5K–$10K); Halquist CV (2016, $10K)",https://ii.umich.edu,https://research.umich.edu/funding/,1
UM Arts Initiative – Public Art and Engagement Faculty Fellowship,University of Michigan Arts Initiative,fellowship,"Architecture, Arts, Public Engagement",Fellowship + stipend,Annual; check Arts Initiative,Annual,No,UM fellowship for faculty creating publicly engaged art and research projects.,"Trandafirescu CV (2022–2023, Faculty Fellow)",https://artsinitiative.umich.edu,https://artsinitiative.umich.edu/funding/,1
"Steelcase Fellow – Institute for the Humanities, U-M","LSA Institute for the Humanities, University of Michigan",fellowship,"Architecture, Humanities, Research","Fellowship + $6,000",Annual; typically fall deadline,Annual,No,UM summer fellowship supporting humanities research including endowed Steelcase track.,"Trandafirescu CV (2022–2023, Steelcase Fellow); multiple CVs (Institute for Humanities)",https://lsa.umich.edu/humanities,https://research.umich.edu/funding/,1
UM Lieberthal-Rogel Center – China Studies Faculty Research Grant,"Lieberthal-Rogel Center for Chinese Studies, U-M",internal,"Architecture, China, International, Design","$10,000–$17,190",Annual; check LRCCS,Annual,No,UM center grants for faculty research related to China.,"Adams CV (2016, 2017, $10K–$17K)",https://lsa.umich.edu/lrccs,https://lsa.umich.edu/lrccs,1
UM Sweetland Center – Senior Writing Fellow,"Sweetland Center for Writing, University of Michigan",fellowship,"Architecture, Writing, Humanities",Fellowship + support,Annual; check Sweetland,Annual,No,UM fellowship supporting faculty scholarly writing and publishing.,Wilson CV (2021 Senior Fellow),https://lsa.umich.edu/sweetland,https://research.umich.edu/funding/,1
UM Bentley Historical Library – Bentley Fellow,"Bentley Historical Library, University of Michigan",fellowship,"Architecture, History, Archives",Fellowship + access,Annual; check Bentley,Annual,No,UM archival fellowship supporting historical research using Bentley collections.,Wilson CV (2020 Bentley Fellow),https://bentley.umich.edu,https://research.umich.edu/funding/,1
UM Michigan Humanities Award,University of Michigan,award,"Architecture, Humanities, Scholarship",Award + recognition,Annual nominations,Annual,No,UM award recognizing outstanding contributions to humanities scholarship.,Wilson CV (2014),https://umich.edu,https://research.umich.edu/funding/,1
UM Anti-Racism Initiative – Tier 2 Grant,"Office of VP for Research, University of Michigan",internal,"Architecture, Equity, Research, Community","$100,000",Check OVPR anti-racism initiative,Periodic,No,UM research grant supporting anti-racism and equity-centered projects.,"Kutil CV ($100K, Tier 2)",https://research.umich.edu,https://research.umich.edu/funding/,1
UM Graham Environmental Sustainability Institute,"Graham Institute for Sustainability, University of Michigan",internal,"Architecture, Sustainability, Environmental","$5,000–$36,500",Annual; check Graham Institute,Annual,No,UM sustainability research grants including Dow Distinguished Award Seed Grants.,"Thün CV (2010, $36.5K); Grengs CV (2024, $10K Who's Missing); Gräbner CV ($5K Dow Seed)",https://graham.umich.edu,https://graham.umich.edu/funding-opportunities,1
Provost Teaching Innovation Prize,"Office of the Provost, University of Michigan",award,"Architecture, Teaching, Innovation, Pedagogy",Prize + recognition,Annual nominations,Annual,No,UM provost-level prize for exceptional teaching innovation.,"Hwang CV (2024, awarded)",https://provost.umich.edu,https://research.umich.edu/funding/,1
CRLT Faculty Development Fund / Whitaker Fund / LEO Fund,"CRLT / Whitaker Fund / LEO, University of Michigan",internal,"Teaching, Research, Architecture, Professional Development","$412–$10,000",Annual; check CRLT website,Annual,No,Suite of UM internal teaching and professional development grants. Multiple tracks for different faculty categories.,Multiple CVs,https://crlt.umich.edu,https://crlt.umich.edu/grants-funding,1
PEFF – Public Engagement Faculty Fellowship,"Center for Academic Innovation / OVPR, U-M; Center for Academic Innovation / OVPR, University of Michigan",fellowship; internal,"Research, Public Engagement, Architecture",Fellowship stipend + support,Annual cycle; check OVPR website,Annual,No,UM fellowship for faculty engaged in publicly impactful scholarship and community-facing research.,Multiple CVs (noted affiliation); Hwang CV (PEFF Fellow 2022),https://publicengagement.umich.edu,https://publicengagement.umich.edu/faculty/peff/,2
Ginsberg Community-Driven Grant,"Edward Ginsberg Center, University of Michigan",internal,"Community Engagement, Design, Planning","$2,500",Annual RFP; check Ginsberg Center,Annual,No,UM grant supporting community-engaged projects and public design initiatives.,"Sirota CV (U-M Public Design Corps); Hwang CV (U-M Public Design Corps, granted 2021)",https://ginsberg.umich.edu,https://ginsberg.umich.edu/grants,2
MSI Collaboration & Implementation Grant,University of Michigan,internal,"Architecture, Education, Equity, Consortium","$30,000",Annual; check OVPR,Annual,No,UM grant supporting multi-institutional collaboration and implementation of equity-focused education programs.,"Multiple CVs; Hwang CV (EAEC initial funding, granted 2019)",https://research.umich.edu,https://research.umich.edu/funding/,2
Graham Foundation – Grant for Individuals,Graham Foundation for the Advanced Studies in the Fine Arts,grant,"Architecture, Arts, Design Research, Publishing; Architecture, Arts, Research","$10,000–$15,000; $10,000–$30,000",Annual; spring deadline; check grahamfoundation.org; Typically Jan–Feb; check site,Annual,No,Supports individuals pursuing projects that advance architecture and its relationship to other disciplines. Miller used for 'Bioplastics! and Architecture's Many Natures.',"Miller CV (2015, Bioplastics!); Sirota CV (2024, Junior Architects $10K); Wilkins CV (2025 If History Were Stories); Haar CV (2019, Re: Housing $TBD); Lui CV (2018 exhibitions); Ann Lui (2018, x2); Miller CV (2015)",https://grahamfoundation.org,https://www.grahamfoundation.org/grants,2
Graham Foundation – Carter Manny Writing Award,Graham Foundation for the Advanced Studies in the Fine Arts,grant,"Architecture, Writing, Dissertation, Scholarship",Varies,Annual; check Graham Foundation,Annual,No,Award supporting dissertation writing and architecture scholarship. Faculty nominate students.,"Knoblauch CV (students Taskin 2022, Brisson 2020)",https://grahamfoundation.org,https://www.grahamfoundation.org/grants/carter-manny-award,1
Richard H. Driehaus Foundation – Architecture Grant,Richard H. Driehaus Foundation,grant,"Architecture, Urban Design, Traditional/Classical","$10,000–$50,000",Check Driehaus Foundation website,Annual,No,"Chicago-based foundation supporting architecture, historic preservation, and urban design.",Haar CV (noted funder in biography),https://driehausfoundation.org,https://www.driehausfoundation.org/grants/,1
Fannie Mae Foundation – Community Development,Fannie Mae Foundation,grant,"Architecture, Housing, Community Development, Detroit","$15,000–$200,000",Check Fannie Mae Foundation,Annual,No,Supports university-community partnerships for affordable housing and community development.,"Haar CV (noted); Dewar CV (1998–2001, $200K for Detroit nonprofit capacity building)",https://fanniemaefoundation.org,https://www.fanniemae.com/about-us/community-impact,1
Knight Foundation – Community / Cultural Infrastructure,John S. and James L. Knight Foundation,grant,"Architecture, Community, Cultural Infrastructure, Urban, Detroit","$15,000–$750,000",Open RFPs; check Knight Foundation; Detroit focus,Rolling,Yes,Supports community-oriented design and cultural infrastructure in Knight cities including Detroit.,"Sirota CV (2023, Kinetic Pavilion $750K); Kutil CV (Knight Arts Challenge $15K)",https://knightfoundation.org,https://knightfoundation.org/apply-for-a-grant/,1
Bedrock Foundation – Urban / Cultural Planning,Bedrock Foundation,grant,"Architecture, Urban Planning, Cultural District, Detroit","$150,000",By invitation / contact Bedrock,Rolling,Yes,Detroit-focused foundation supporting cultural planning and urban design.,"Sirota CV (2023, CCPI $150K)",https://bedrockdetroit.com,https://bedrockdetroit.com/foundation/,1
Bloomberg Philanthropies Public Art Challenge,Bloomberg Philanthropies,grant,"Architecture, Public Art, Urban, Community, Food Access; Public Art, Urban Design, Community","$60,000–$1,000,000; $1,000,000 (city); ~$60,000 (UM subgrant)",Periodic; check Bloomberg Philanthropies; City-application driven; periodic,Periodic; Periodic (~every 3 yrs),No,Supports creative placemaking projects embedded in city government. Universities typically participate as subgrantees within a city-led application.,"Thün CV (2019, Fertile Ground $60K subgrant of $1M to Jackson MS); Thün CV (2019 – Fertile Ground, Jackson MS)",https://www.bloomberg.org/philanthropies,https://www.bloomberg.org/public-art-challenge/,2
Ford Motor Company – Alliance Program / Research Partnership,Ford Motor Company,grant,"Architecture, Urban, Mobility, Sustainability, Brain Research","$191,000–$255,000",By invitation / contact Ford Alliance,Rolling,Yes,"Ford-funded research grants for architecture, urban design, mobility and smart city focus.","Thün CV (2016–2019, multiple $192K–$255K); Nanda CV (2025, Brain to Building, ongoing)",https://ford.com,https://www.fordfund.org/,1
National Fish & Wildlife Foundation – Coastal Resilience Fund,National Fish and Wildlife Foundation,grant,"Architecture, Landscape, Resilience, Ecology, SE Michigan","$499,300",Annual RFP; check NFWF.org,Annual,No,Supports nature-based solutions and stormwater/coastal resilience. Large project grants.,"Thün/Velikov CV (2024, SE Michigan Stormwater, $499K project)",https://nfwf.org,https://www.nfwf.org/programs/national-coastal-resilience-fund,1
Lincoln Institute of Land Policy,Lincoln Institute of Land Policy,grant,"Urban Planning, Land Policy, Architecture, Housing","$10,000–$250,000",Annual; check Lincoln Institute,Annual,No,"Grants for research on land use, housing, and urban policy. Multiple programs.","Cuéllar CV (2022, Food Systems Grant $10K); Dewar CV (multiple historic); Campbell CV",https://lincolninst.edu,https://www.lincolninst.edu/research-data/funding-opportunities,1
SOM Foundation Research Prize,"Skidmore, Owings & Merrill Foundation; SOM Foundation",prize; grant,"Architecture, Design, Housing Justice, Urban; Architecture, Urban Design, Housing","$40,000",Annual; check SOM Foundation; Annual; check SOM Foundation website,Annual,No,"Supports design research advancing housing justice, new housing typologies, and zoning reform.","Cuéllar/Yi CV (2024, Block by Block $40K); Cuéllar CV ($40K awarded, 2024)",https://www.somfoundation.com,https://www.somfoundation.com/research-prize/,2
Architectural League of New York – Young Architects Prize / Emerging Voices,The Architectural League of New York,prize,"Architecture, Design, Emerging Practice","Exhibition + prize ($2,000–$5,000)",Annual; check Architectural League; typically fall,Annual,No,Prestigious national prizes for emerging architects. Young Architects (pre-10 yrs) and Emerging Voices (invited).,"Sirota CV (2018); Cuéllar CV (2018, $2K); Moran CV (2015 YAP); Borum/Maigret CV (2021 Emerging Voices); Ng CV (2022 Emerging Voices); Velikov/Thün CV (2008 YAF)",https://archleague.org,https://archleague.org/young-architects-designers/,1
Exhibit Columbus – J. Irwin and Xenia Miller Prize / Research Fellowship,Exhibit Columbus,fellowship,"Architecture, Urban Design, Research, Columbus IN","$10,000",Periodic/Biennial; check Exhibit Columbus,Biennial,No,"Fellowship supporting design research in Columbus, IN with annual exhibitions and installations.","Wizinsky/Lally CV (2018–2019, The Long Now $10K); Lui CV (2021, Miller Prize winner)",https://exhibitcolumbus.org,https://www.exhibitcolumbus.org/opportunities,1
Urban Studies Foundation – Seminar Series Competition,Urban Studies Foundation,grant,"Architecture, Urban Studies, Research, Deindustrialization; Urban Research, Architecture, Planning","$26,050; ~$26,000",Annual; check Urban Studies Foundation; Check USF site,Annual,No,Funds academic seminar series focused on urban studies and urbanism research topics.,"Thün CV (2018, Emerging Urbanisms $26K); Thün CV (2018)",https://www.urbanstudiesfoundation.org,https://www.urbanstudiesfoundation.org/funding/,2
A.W. Mellon Foundation – Humanities / Urban Research,A.W. Mellon Foundation,grant,"Architecture, Urban, Humanities, Mapping","$15,840",By invitation through UM or directly,Periodic,No,Mellon foundation grants for humanities and urban research. Often channeled through UM partnerships.,"Thün CV (2018, Mapping Egalitarian Metropolis $15,840); Wizinsky CV (2018–2019, Humanities Without Walls $110K)",https://mellon.org,https://www.mellon.org/grants/,1
